selected_text,sentiment
you are adorable,positive
away. I miss you,negative
excited,positive
Need to sleep but can't,neutral
"one of my favorite,",positive
_Coppinger nope  day off sleep time ha,neutral
yay but u have no idea what you look like,neutral
"Ugh, still sick. This Calgary cold has lasted forever.",negative
Counting down..,negative
wish,positive
Feeling bad th,negative
love,positive
I can only promise about 150 or so.,neutral
"It's 5:03 in the morning.. I think it's time I went to bed. - so, goodnight everyone",neutral
gained,positive
Getting ready to ship a care package to the daughter. She's not coming home this summer from college,neutral
LOL  said to look out for you - but I was in canberra -,neutral
I miss my cousin so much,negative
sad.,negative
I m so happy,positive
! I'm just glad,positive
sick,negative
"Hope the book is going well. Cheers for adding me,",positive
Whole Earth Festival,neutral
"We givers make takers possible, but we get no appreciation for what we do--we just get taken.",negative
i'm hungry. i want scrambled eggs again. my grandma always makes perfect scrambled eggs. my mum sucks at it. so i'll go make some myself!,neutral
omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho,neutral
at work  then back to my baby's house,neutral
lovers. both boys are ve,positive
the only thing is I'm not a chocolate fan  but the thought was yhere,neutral
but can't sample it when I get there,negative
i love youuuuu,positive
"I can't go out when my heart is home sick  even if it is my bday, family health comes 1st",neutral
my teeth and head hurts,negative
Lovely,positive
said final farewells to roommate.  almost finished packing then it's dc or bust on the 3rd. california: i divorce you x 3!,neutral
imo,positive
it is ****...u have dissappointed me that past few days,negative
s don't paint a good picture,negative
"go to vegas, but don't spend all ur money!!!!",neutral
Very interesting,positive
finished a whole box of ice cream,neutral
its taking forever to upload,negative
boooooo,negative
gloomy,negative
worth,positive
too bad i cant fly in and make u feel better,neutral
o i hate revision,negative
happy,positive
yep,neutral
I am having a pretty good time at work talking **** with one on  the gymnastics gils,neutral
"Thanks, Wookie-man.  I test stuff out on you. lol",positive
mothers day pak...,neutral
too late  I'm already on the bus goin home  what the he'll u talkin about drinkin te,negative
tummy ache,negative
thanks,positive
sweet,positive
The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!,neutral
I like you.,positive
interesting,positive
to spend the weekend...to not spend the weekend.....that is hte question that is on my mind...,negative
so clumsy lately?,negative
can't believe i wasn't following you!,negative
hate twitter,negative
vague.,negative
e penalty,negative
fusterated,negative
nooooo its raining..,negative
Pretty,positive
comforting,positive
At the dr office for abbie's second round of shots...,neutral
jittery and upset,negative
enjoy,positive
hell yeah!,positive
jazzy we should be in vegas w A team,neutral
sick,negative
I thought there was more Fanta in my can than there was,neutral
ly amazin,positive
I'm sad Twits!  I'm going to miss  musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them,neutral
.sorry abt nt gettin in touch..was hectic,negative
"yeah it made a great noise, and tripped the house circuit breaker. Good Times. $200 worth of parts too",negative
sorry you're feeling under!,negative
"Are you coming to the wedding?  I want all of his friends to be there?     Right, sug",neutral
sad.,negative
Yey! holiday Monday in Uk today ... have a chilled day,neutral
hey  how are you?,neutral
excellent idea!,positive
how I wish my parents put me into a Chinese school when I was younger.,negative
****,negative
I am doing fantastic,positive
t hopefully,positive
I have the weirdest hives all over my legs and arms. What the heck am I allergic to? It itches SO bad! Dang it!,negative
"I'm in tantra, anyone from kirki will know how sad this is, I'm drowning my sorrows ;)",neutral
e just amazing,positive
who I think is very smart,positive
sleep time  big/little lunch tomorrow at olive garden,neutral
lucky,positive
Hope,positive
There was no traffic at all on my way home and all traffic lights were green.Im afraidIowe karma a big check,positive
"_Cordon LOL, you're welcome",neutral
RIP my old friend.,negative
If only we could ever actually be allowed to stay here and do that,neutral
out enjoying the weather be,positive
rocks..,positive
concur,positive
s fun,positive
posted a few pics of my college on my myspace www.myspace.com/katieheidie,neutral
favorite,positive
morning to all,neutral
"Off to work again. Yo ho, Yo ho, another day at the hell hole",neutral
"&quot;I only think of you as breaking my heart, I'm trying to keep it together but I'm falling apart",negative
ice cream's just,positive
I hate moving; and hate packing even more,negative
thanks so much!,positive
Loads of little jobs to do today.  Going to be playing walking themed music today from BrickMan,neutral
The sun is wonderful but makes me feel incredibly fat.. The less clothes and more exposure thing  today I diet. Again......,neutral
Awesome effort,positive
hurts,negative
yep  which sucks because i thought somewhere it said it was..,negative
That's sad.,negative
Checked if there's a new comment on friendster!,neutral
amazing,positive
look how   choke on this **** talks to me,neutral
Disappointment really sucks!,negative
i love you and miss you.,neutral
still i feel its not at all fair..,negative
much easier,positive
"I'm gonna start writing a proper blog,",positive
awesome!,positive
love,positive
"Boo, on both counts.",neutral
feeling really sick,negative
evil ****.,negative
love,positive
you are a good child.,positive
l good for you.,positive
heyy are you ok...? i know it sucks having her in you dorm... but i assure you it will be ok,neutral
"&quot;Bad words are a crutch, they lead to tattoos and peircings!&quot;",neutral
hard,negative
"it is very unlucky  the day wasn't the same without you! i hope to see you on wednesday though, right?",negative
fun,positive
sorry,negative
i should be &quot;bus stalking&quot; right now..i soo wish i were still meetin,neutral
"haircut as short as possible, even change color , new me",neutral
good work,positive
Aww what a sunny day! Tasty barbeque with the family (: Got bad sunburn though,neutral
love,positive
How great is the economic downturn.,positive
.. IN SWEATERS,neutral
"Hope you're well, sister",positive
miss,negative
t was awesome,positive
Rude.,negative
I'm fine thx.,positive
g'night,positive
Good morning Tweeple of the sun! What you all up to?,positive
i wanna go home,neutral
wow,positive
second best,positive
"#SanctuarySunday  yay for #Sanctuary, I may watch Requiem after breakfast!",neutral
Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad,negative
yeah but i missed it 2nite,neutral
well here i go off to work,neutral
"can't.  wish I was sleeping. Gotta be at work in less than 4 hours... Wait, what're u doing up???!",neutral
Happy,positive
happy,positive
still on the train goin 2 the southside!,neutral
DS! WHY?  Hope you have a bles,positive
gutted,negative
FINALLY GOT THE BIKE I WANTED!,positive
mmm  eating tostitos &amp;&amp; piknik with spinach dip fr,neutral
hard,negative
is so excited fo,positive
this is  how it looks at nights,neutral
ignored,negative
I'm waiting for it so I can get back to Nambu which stopped working on 10.5.7  (for me),neutral
I made an animated holiday card thingy. http://is.gd/yjpq - Shh. Don't tell mom yet. It's a surprise.,neutral
I was born there,neutral
thank u,positive
"no, i do better with people i don't know   you're going to chiodos tonight, right? just kill something for me",neutral
"Bandung, my hehe but I'm home now",neutral
"Good morning, sunshine!",positive
ace,positive
fun!,positive
At work but punchy due to two early morning pager events.,neutral
much better,positive
on my way,neutral
Happy ve,positive
they tryna get me 2 sing on mic n i said NO NO NOOOOOOOO,neutral
leaving now  dont miss me too much tweetbeaks &l,negative
"Has got the slow cooker going, now just to get ready for work",neutral
thks,positive
Crappy,negative
shut,negative
love,positive
LAME.,negative
Oh no,negative
There has been too much of it,negative
"My day was cool, a lil twisted...  I won't spam twitter like I did last week tho.",neutral
they hated me,negative
"is it too late to jump on a plane to Richmond, VA and go to the Conditions concert?! ...i think that's a yes  boo my life. and ohio.",neutral
I loved,positive
Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt',neutral
way to many chocolate animal crackers,negative
i love you,positive
funeral at 2.  today is going to be bad.,negative
awesome,positive
is sad th,negative
I'll be listening!,neutral
annoying,negative
enjoying lazying around,positive
e not interested,negative
Just started raining in earnest... guess golf is off for today...,neutral
Happy mothrs day,positive
suck.,negative
Angus down 3-1 in first set     http://yfrog.com/10jsep,neutral
I go into the room for the first time in weeks and you're off cleaning,neutral
thx for all the nice,positive
good,positive
bad times?,negative
can't wait to hug him,positive
"Lol, me too!!",positive
I'm bummed,negative
went to the doctors for a physical (including blood work -_-) and the eye doctors for new glasses.,neutral
where is the sunshine...the only thing i see are clouds...,neutral
"Very bored. All day, no one 2 talk 2. Missing my BF (and his kisses).",negative
_ i guess we will wait &amp; se,neutral
"Well aren't you just the kindest people in the world  Unfortunately,",neutral
I'm gonna cryyy!!! My car looked so good clean and its **** raining!?! I always do this...wash it right before it rains,neutral
it hurt for real,negative
(OOC: -we'll do it.  ),neutral
fun week wi,positive
My pleasure. I can't be with my mom on Mother's Day. But I can spread love.,positive
cuum...my entire apartment is smo,negative
he calls me bella,neutral
. I MISS GIRLFRIENDS!!,negative
Im glad i can make sumone smile,positive
sucks ****!,negative
Too bad you guys didn't get to play in Boston,negative
7pm? So early. Dat's 4pm my time.,neutral
love,positive
"finally, so nice",positive
thank you,positive
thanks to the forever 21 curse,negative
hate wr,negative
"Yes! Cold coffee from yesterday. No sugar, no cream !  The way I like it !",positive
Thanxx,neutral
you'll be fine.,positive
..Goodnight Tweets.,positive
I'm a bit bored,negative
Thank you for being such an awesome mother,positive
Sorry,negative
bye for now people .,neutral
"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now",neutral
Oh snap!,negative
I'm afraid,negative
sucks,negative
Sucks,negative
I love,positive
excited,positive
Good morning! It's going to be a kick-butt day!,positive
"heh, i meant differences between b3 and b4",neutral
I can give you the contact of the person who makes those cheesecakes!,neutral
Happy Mother's Day to every single mom out there. I love my mommy,positive
"Rich man is amazing, really can't be bothered for school on Monday",positive
thank you,positive
"Never touched a drop, me!",neutral
love your new profile pic,positive
uh... I brokt it...,negative
Looks good,positive
Why are tea pitcher things so hard to find?,negative
Happy STAR WARS Day - May the fourth be with you!,positive
&quot;Thank god you didn't go **** until after you had,neutral
dying,positive
WE LOVE YOU TOO!!,positive
e fantastic,positive
my ipod died,negative
.enjoy,positive
Leaving SF soon. I just might cry.,neutral
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral
Ok so Jeff looks like he has a black eye!!,neutral
gutted,negative
i feel proud.,positive
rs!  have fun,positive
indeed,neutral
may the 4th be with you,positive
Nice,positive
haven't had a good,negative
THIS WEBSITE GAVE ME A VIRUS!,negative
Yayyyyyyyyyyy!!!!! but thats sp far away!,neutral
hope,positive
_Call awww i wish i could but i have no talking minutes,neutral
goodnight!,positive
"Yeah, if I lived on the rez, I'd already be dead.",negative
Njoying sunday  plce,positive
turning in.  it's been a loooong day.  just got my new US edition Esquire so going to fantasize that I could one day look like Megan Fox.,neutral
good.,positive
I've just realised - 400 FOLLOWERS! YAY!  ****,neutral
_i_am_jes YAY! congrats! i'm afraid to check my grades!,neutral
heyya people!,neutral
Nooooo get on now! Haha i'll be gone later,neutral
waiting on the cue for kenny,neutral
I love,positive
dont worry im not!!! i dont get it on my tv,positive
favorite,positive
Lol read me like a book,neutral
great day,positive
The newest versions are not any better,negative
cry,negative
Hey hey get tickets to ALL TIME LOW when they're in Aussie kay. www.myspace.com/destroyalllines Yup. Go there get tickets,neutral
nice,positive
"actually darn,",negative
"h of cool people. Checked your portfolio, nice work/details in the project",positive
"weather's... ugh, something like asthma. So",negative
good luck,positive
haha.  weird?!?  no sunshine for us,neutral
I hate Windows.  I miss my lovely Ubuntu   I'm such a nerd,neutral
"is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it's the 5th graders last day!",neutral
Threee WORDS . . . YOUTUBE BAMBOOZLE SHOW,neutral
He made me sad,negative
i thought it was already winter. turns out winter has even started,neutral
ah **** ... my chest hurts now,negative
"Wal-Mart orientation...it's work, but seriously...this sucks",negative
i think its like 1million degrees here &l,neutral
It's your inherent humility,positive
RIDICULOUSLY,negative
borin'.,negative
misses,negative
take a medicine,neutral
Thanks,positive
"brazil LOOOOOOOOVES you,",positive
is a piece of ****.,negative
Cloud Croatian Apartments,neutral
_Aston Still looking  I filled out quite a few applications last week and once I get home I'll continue.,neutral
Comcast.,negative
er lovess,positive
That's the problem.,negative
now theres a thought .... do you still get goldfish at the fair ?? not seen them for years,neutral
Yummm,positive
funny.,positive
Hope you had a great time,positive
Argh!,negative
Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less,neutral
u don't love me  no follow..how was your night? ;-),neutral
Discrimination is not a bad thing.,positive
cheap and good system,positive
oh no! Poor thing keep us posted.,negative
s are fun again!,positive
I don't want to go to the 3-hour lecture,neutral
great mood!,positive
evil laugh*,negative
fml my,negative
accomplish a **** thing.,negative
hope it,positive
tried,negative
Nugget bit Jack. I told him not to poke the poor hamster!,negative
good,positive
"Yaaaaaaay,",positive
"This is my new College project, i just wanted to share it  Hey Mr Bartender - College Project http://bit.ly/Ba3Nf",neutral
boring,negative
brought the SF fog to LA,neutral
where are you going tonight?!,neutral
miss,negative
stuck,negative
I'm soo jealous right now!!,negative
--- has demi ever replied to you? Coz I haven't got any...,neutral
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,negative
good,positive
sad,negative
"im just dreamin out loud, i cant have you for mine and i know it",neutral
cool that you liked germany,positive
craving a king sized snickers,neutral
I didn't go to the gym today and I feel bad,negative
I know! But I still want to see it,neutral
t I can't write fast enough,negative
shut,negative
Thanks,positive
you are beautiful!,positive
nick's voice still makes me wanna kill things,negative
i hate waking up early!,negative
Sad,negative
coffee and gym... starting the day off right!!,neutral
me.  confused about a guy...he's great but why am I pushing him away?,neutral
i m so hating it,negative
well paisley has one of those cone things around her head...SO funny but I feel bad for her,neutral
We can't wait to see you!,positive
thank you,positive
When does it close? I didn't think it'd been running that long? I still haven't had chance to see it!,neutral
HAPPY MOTHER'S DAYYYY!!!,positive
There were way more than two! Ten hours of real-ale takes it out of you,neutral
";3 I love him! I think he's ace &lt;3 On another note, **** this head",neutral
Thankyou,positive
very angry,negative
"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better",neutral
Ohh Emmm Geee.,positive
.  Now I smell like clorox,negative
There is one million people @ the DMV today.....,neutral
Best show of my life.,positive
eating ice cream and then getting ready for graduation.,neutral
I really am insane.,negative
This herniated disc sucks.,negative
sorry,negative
Wishing I could see N*E*R*D headline @ Fest at DePaul tonight,neutral
Would be nice to see you.,positive
accadentally,negative
LOVE,positive
love,positive
"just woke up..busy busy busy 2day...bake bbyshower cupcakes and jays bday cake, bleach hair again &amp; see my bo",neutral
awww wish I was there!,positive
"I would if I was drivin :\ hahaha. but get me a Carol C. Special, yeah?",neutral
Don't we all!,neutral
9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday,neutral
summer clothes panic over..I see rain clouds !!  still going swimming though..I'm feeling in a holiday mood,neutral
"Day 2 of back to work , Day 1 went allllllllright I was only exposed to the swine flu for 8 hours so thats ok I think? Just wash my hands",neutral
you have to follow me before i can dm ya,neutral
Hey  Did you have a good weekend buddy?,neutral
I can't really say much because none of it is set in stone.. but I'm planning a charity concert for Cystic Fibrosis,neutral
The trains turned into a microwave,neutral
be sure to save some for me!,positive
dammit i cant watch st,negative
I freaking love,positive
If you haven't changed your mind by mid-June then you can have one,neutral
its cuz you love me. dont make me sad,neutral
I went green yesterday and I was out so I missed it  do I get another certificate????,neutral
"Ashlie, thank you.  You made me feel a little better.",positive
Aww that's still awesome.,positive
thanks,positive
Holy cheese sending things to the motherland is muy caro,neutral
"This really sucks, I'm supposed to be home in a couple of days and I'm not  I hate borders and visa's.",neutral
Maybe that's why I'm stuck in situations,negative
great,positive
yay dad agreed to pay for my tuition,positive
I say it's in the cards.,neutral
fantastic.,positive
I miss you too.,negative
excited for a fun weekend wi,positive
special,positive
disappointed,negative
listening to the cat snore,neutral
working till 5....why are they playing miley cyrus on the company radio and not adele?,neutral
bye bye South Beach....u never let me down,neutral
I'm so poor.,negative
misses,negative
My student just walked in balling.  She just witnessed her dog getting hit on the street.,negative
okay thank you! i,positive
"I just put my computer up on craigslist. I've had the same case, monitor, and speakers for over 5 years.",neutral
fail,negative
Good times,positive
hate,negative
I didn't find my dress,neutral
HATE,negative
skyping with katie  &amp; Allison yeah boy katies mom mooned,neutral
awesome,positive
"hiya, hows your week been?? just tried to DM you but your not following!",neutral
e great!,positive
like,positive
d love,positive
"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",neutral
"hows the peas doin? if you meet them, tell them i said hello",neutral
dying on me,negative
hey Samantha welcome  and happy mother's day!!,positive
beasted,negative
Happy,positive
Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,neutral
sad,negative
_phillips She says yes  shall we say 6:30?,neutral
Sunburn on my knees,negative
Editing all the photos I took at my brothers soccer game. He's got a lot of work to do as a coach.,neutral
"it actually is ;) According to all the retweets, at least!",neutral
"polyester, protester, quester, semester, sequester...hope this helps",neutral
awesome!,positive
"Don't worry,",positive
awesome,positive
I hear you sister!!    Same her,neutral
Hope that migraine doesn't stick around for too long.,positive
"sux,",negative
hurts,negative
w it was that serious.  Well that sucks.,negative
Soooooooooo glad to learn that Farrells ice cream parlor is staging a comeback in So. Cal -- too bad,neutral
s great,positive
cute,positive
its almost lunch time for you,neutral
hurt to,negative
"Scream just played on my iPod. First thing that comes to mind, BEAR MACHINEEEEE!!!! Lol",neutral
stuck in stupid,negative
All ready for costume making! But... there's no one here...!,neutral
"happy birthday, amber! hope it's a great one...and - you're far away from thirty...shhh...you're making us 29'ers feel sad!",neutral
perfect ma,positive
horrible.,negative
good,positive
"errr ok, most people have their espressos in the morning, ice latte at noon and warm latte in the evening!",neutral
Is that why your blog is set to private?,neutral
asicall,negative
mean,neutral
appreciate,positive
glad,positive
"it involves posting your thoughts and reading others mr.bean. You got a new number btw, had no txts back from you?",neutral
Ok so any ideas of what to do tomorrow to make it fun? Cause i dont know what to do,neutral
whoops,negative
Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,neutral
e welcome,positive
missing my numero uno,negative
"sorry 2 hear albert isnt well? dont know whole story, so i'll keep ya'll both in my prayers. (((hugs))) 2 u both!",neutral
AHHHH my keyboards getting worse :/,negative
fake asses!,negative
No!  I in fact made sure that cookie was never delivered.,neutral
done with the dentist until November,neutral
"I'm very upset right now,",negative
Its sooooooooo not funny wh,negative
Till then ..Ice Cream!,neutral
"Sometimes I hate myself, but that's normal so I don't worry bout it",neutral
what a wonderful day..,positive
B!    Super,positive
GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don't worry lol  cry cry cry,negative
;3 I just love the connection with GW  Doing Dutch and might do some art late,positive
****.,negative
If you don't want to come then don't come. JEEEEEZ.,negative
I love that we just get a little peek of your dimple,positive
just trying to make you feel at home?,positive
not interested,negative
I'll give u an icecream ?,neutral
"and egg whites, with 7 grain toast. YUP!",neutral
chaos,negative
Loving Lego Indiana Jones. A game-researching aracheologist's dream,positive
Birmingham was my 1st love.,positive
I dont think he's ganna text me.,neutral
Not as easy as,negative
", youre welcome to come hang!",positive
is thinking WOW,positive
I wish,positive
"en, hope it doesn't rain",positive
Good movie.,positive
Im doing good,positive
lonely,negative
I have too much homework to do today,negative
I'm having fun AIMing them,positive
"Um...no  We will most likely be inside a lot, maybe the skirt will work!",neutral
Nice,positive
Can't wait.,positive
they love my style of writing for HP.,positive
Work sucks..,negative
l miss,negative
amazing,positive
Happy to see Kurt spin.,positive
Happy Mother's Day to all you mother's in Twitterville!,positive
"stupid,",negative
I Need a freaking adventure.,neutral
sitting at the chevy dealership in utah waiting for the van to be fixed,neutral
"No offense taken..!  Just one of my many controversial views, I guess!",neutral
payday I love you!,positive
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
Funniest desktop ever:,positive
So booooored,negative
t hates,negative
http://onoir.com try to go if you can. I tell everyone who goes to Montreal to check it out. Even people who live there,neutral
Awwww poor biggie...he puked on me in the car. Even though I had the air conditioning on FULL blast...I think it was the heat  He' ok now,neutral
negative,negative
Hate,negative
PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head,neutral
-- yeahhh u wasnt thereeeeeeeeeee,neutral
tired.,negative
its going to be a long day at the office,negative
Perfection  got 7 pages done,positive
"logically, yes. i just have to find one though. always seem to see them beside motorways when you cant stop",neutral
****.,negative
to atl in the morning then back to Clemson,neutral
Dont worry babe,positive
is enough time!! (if i get into VIP!) but i know that doesn't make up for it  at least they'll have each other!,neutral
"is suffering from hayfever, is drowsy from too much Piriton,",negative
Too broke fo,negative
it looks like it did in Ohio after a tornado hit.,neutral
Good Morning/,positive
Of back off other peoples he can only have one stalker,neutral
suck,negative
Messed,negative
? did ya have fun? love ya girly!,positive
hurts,negative
still in love with loser who left me,negative
I LOVED IT!,positive
I no  i wanna move to america!!!!!!!!!!!!!!!,neutral
good,positive
My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL,neutral
yes ma'am u do have a pretty smile. but you also won't eat chipotle with me.,neutral
Yucky!,negative
. thats cool.,positive
IIII know!!! and mean,positive
haha,positive
SIGH,negative
cool,positive
NOW  IM MAD,negative
says gots my mom a digital picture frame bout to scan pics of her wedding n all that mushy stuff,neutral
****,negative
My besties.,positive
"MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love 'em all!",neutral
s so awes,positive
Has lost his vocie and Adele is laughing at me LOL and still wondering why I'm in college on me week off,neutral
"Hey,  I'll be in sa then  maybe if we cross highways we can grab lunch?",neutral
d love,positive
dead.,negative
: to triste,negative
ah allergies  you must be sleeping walking at work!,neutral
sorry,negative
_ - hey there.    How was your day?,neutral
Yes! Join us! All we require is a cupcake donation...,neutral
WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,negative
Can't sleep!!,negative
@ work do not feel like bein in dis **** today,negative
Driving to work running late like always..... No time for starbucks,neutral
I'll have to take a picture of the moon tomorrow night  not gonna happen today,neutral
I gave you a big mention on The GodTalk Radio show last night....last segment of the first hour. Podcast format avail soon,neutral
home for the night to hang out with my mom and study,neutral
looking forward to,positive
beautiful day,positive
lol we should start a group lol the **** sisters,neutral
do you remember them all.... do not take that as a challenge to!,neutral
poor,negative
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],neutral
not having your lights on concerns me! Lol! Stay safe!,neutral
not eating lunch with my wife like I wanted to,negative
"Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN",neutral
Off to rehearsal for the Rob DeLucca thingy next month. Nothing like learning new songs last minute,neutral
"the free fillin' app on my ipod is fun, im addicted",positive
u just got me real excited cause i thought teniece was on twitter...,neutral
. Can't be a victim like your people.,negative
...Thank you Mr. President!.,positive
"It's 12:30AM,  stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?",negative
Happy Meal,positive
"and by the way it's short stack, not sway sway  sway sway baby is a song of theirs",neutral
DANGERously,negative
My storm is acting up,negative
"wow,",positive
i think no!,negative
Good luck to everyone,positive
why the hell is air not on TODAY,negative
forgot about my old twitter account please follow itsjeff i will stop this account soon...i prefer the address that doesnt have my age,neutral
"i want to wake up early, and get a coffee tomorrow (today) !  it's going to be a busyy day! but have to keep writing.. booo whoo!",neutral
I love your show!,positive
bad,negative
Go to school :/,neutral
Guess I'll be running in a little bit. Accidentally fell asleep,neutral
e best picturisation ever,positive
it's killing me.,negative
sorry,negative
Go to main settings page for iPhone and scroll down - you will see it,neutral
Miss,negative
passed,positive
I feel extremely flushed,negative
why you will so little time in rio de janeiro? forgive babelfish!,neutral
just woke up with a cat in my face  haha,neutral
"How would we get thousand battlegrounds  #battleground, I mean we don't even know how could we reach which number to make it trending tpc",neutral
"I've already done my washing, I have a spring in my step this morning",neutral
great week!,positive
saving,positive
asted,positive
"_kryptik the usual... applications, checking statuses, reading stuff that's ... wel... not arbit  etc",neutral
The only way I'll feel safe is when he's finally in jail where his stalker **** belongs!,neutral
Brand New bo,positive
Hiya! You might want to delete and retweet - the link to your blog doesn't work,neutral
"yea it looks good,",positive
miss,negative
MILEEY HOW CAN I VOE IN THE MV MOVIE AWARDS ?,neutral
. It wasn't all that great but Channing Tatum is amazing!,neutral
Wish,positive
I love cute stuff!,positive
Game 6...who wants it...u already know who the league wants,neutral
_iain well my team couldn't,neutral
"You said your getting McFlys live album 2morrow, whats it called?  ****",neutral
hurts,negative
blimey!,negative
Just learned aobut #starwarsday. Thus: &quot;There are only 3 movies and Han Solo shot first&quot;. Deal,neutral
May the 4th be with you,neutral
finally leaving this place! woohoo! school time!,positive
"off this cold, ugh",positive
"_n_nouns ikr? my parents take the cake tho, they don't grocery shop and they go out to eat all the time just them 2...",neutral
"Actually SoS won't be here, VI will be accompanied by Gliss and Make Me. The day after Brandi Carlile, busy month gigwise",neutral
targeted browser for what?! I just read that Windows Mobile uses the IE6 core as its default.,neutral
Home. Got some nice plugs but no chipotle,neutral
badly,negative
l die,negative
is about to go for a run.. in this weather..,neutral
sorry,negative
Is with our dog at the doggy park!,neutral
Cant wait to leave work,neutral
**** IT !,negative
playing pet society,neutral
like,positive
i don't have any of that,neutral
Muay Thai was awesome. I'm gonna be sore in the morning! I feel like being bad and eating junk tho,neutral
"Chillin with the rents, and looking at hilarious old photos. Well funny!",positive
i don't like u,negative
excited,positive
"four shots of novacaine in my mouth  my right cheek is totally numb, booo.",negative
good luck with your auction,positive
Getting ready for a long weekend of work..friday Saturday and Sunday,neutral
lied.,negative
thanks,positive
I suppose it has a certain 80's charm. I'd personally hold out for the motorola 8 track phone. I like my phones chunky,neutral
HAPPY,positive
Broke my carafe  went to Starbucks for my caffiene fix and the lights go out...just for a sec but are you kidding me..got to laugh. Ha!,neutral
hotttie poooh!!!!,positive
Just enjoyed 2 steak quesadillas! Kinda mad cause I'm gonna miss the laker game!,neutral
This Twittername is hosted by TwitterFridge. Email us if you want us to open the Fridge  Check: www.twitterfridge.com,neutral
"red top tabloids, build em up, knock em down",neutral
"boredd,",negative
Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.,neutral
g a,positive
Okay keep on celebreting,positive
poor keanu,negative
"Sons of ****,",negative
love,positive
soooo far away.,negative
yum,positive
Very bad things..,negative
would love to say TGIF but working at 6am tomorrow,neutral
i told myself i wasn't gonna cry and then one kid that everyone made fun of all year said &quot;it's been a good yea,neutral
im going to work,neutral
dont wanna go workk!!!,negative
ps- are you a doctor or swine flu paranoid?,neutral
bored..,negative
its all the rain,neutral
I like da cooolooorss and the composition is great,positive
Thinks its gonna rain,neutral
wishing I was anywhere but here...,negative
I just crashed,negative
sitting around doing **** all....tired,negative
I'm pretty sure the bunny wouldn't survive a struggle with Tom,neutral
i'm lonely.  i need some hug.,negative
hugh isn't on it  lied last week,negative
now i'm in hmv,neutral
OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,neutral
crashed for the first time in 3 months. Not too bad actually,neutral
"I've got to meet him tomorrow, midday and hopefully, fingers crossed, it'll all be sorted. My head is still hurting though.",neutral
You're a real ****. I'm gonna slap you in public.,negative
we're waiting you here in Belgrade!! Can't wait!!,neutral
yeeeeah . . . and it was in into too  seen Empire top 100 computer games?,neutral
nice,positive
Amazing.,positive
"look, i'm following you!",neutral
I'll try..blah! Thanks  what are u up to today?,neutral
enjoyed,positive
i know u r!  i wont be there til the 6pm service..will u be there?,neutral
grouchy,negative
"****...Ive gotten so much packed up already lmao, well little **** anyway. Either way, I have a good start",neutral
seems appropriate,positive
sad,negative
contemplating whether or not I will go to prom as I listen to my 80's playlist. &quot;Somethings tellin me it might be you!&quot; Stephen,neutral
On what..,neutral
Not good!,negative
2 grea,positive
Nope. Just come back to CT,neutral
Taking the day off and doing absolutely nothing    Studying begins on the morrow,neutral
"i want my WOOSOO like now plz  i gant wait, knowing she's so close is driveing me NUTTS",neutral
night boyssss,neutral
it sucks,negative
I've only seen Star Trek twice. Seeing &quot;Up&quot; today but not in 3D since I was,neutral
My aim is not working due to network problems,negative
**** it..I'm **** as hell,negative
Bad day!,negative
Sounds good. Will wait for it. Thanks,positive
.I thought I was funny,negative
Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother's Day gift.,positive
". great stuff  AND Florence and The Machine. Great, great music",positive
